"regime","dgp","n","arm","ref","reps_paired","rmse","rmse_ratio","rmse_ratio_mc_se","rmse_ratio_lo","rmse_ratio_hi"
"R1","A",500,"doubletree","oracle_aipw",2,0.0378896816518346,1.00536472510092,0.0249358855136279,0.965766025554103,1.03552569167345
"R1","A",500,"glm_main","oracle_aipw",2,0.060940235879128,1.61698807752422,0.242203570760232,1.28111073271733,1.96187753865607
"R1","A",500,"glm_int","oracle_aipw",2,0.0597850588909753,1.5863366139989,0.0641762518774613,1.50445283924211,1.6844539954914
"R1","A",500,"lasso_dml","oracle_aipw",2,0.0571849239974191,1.51734464076181,0.0186673108506659,1.49406019002818,1.54636607026189
"R1","A",1000,"doubletree","oracle_aipw",2,0.0327668744731973,0.977150810473621,0.0259075421877239,0.948378715562772,1.02050617667087
"R1","A",1000,"glm_main","oracle_aipw",2,0.0638199218976833,1.90319306950363,0.463675186302996,1.28582082500158,2.58843213316725
"R1","A",1000,"glm_int","oracle_aipw",2,0.0321122057054787,0.957627736416275,0.0303120378624879,0.9054896723908,0.989539424446987
"R1","A",1000,"lasso_dml","oracle_aipw",2,0.0353500544227909,1.05418459602461,0.0502493595202974,0.967125296742675,1.10628695727748
"R1","A",2000,"doubletree","oracle_aipw",2,0.00997584815941054,1.10864287863079,0.00848500024218103,1.10680325818918,1.1274323707326
"R1","A",2000,"glm_main","oracle_aipw",2,0.0104142379124991,1.15736231281423,1.4026140065114,0.114972012403996,3.87451317556219
"R1","A",2000,"glm_int","oracle_aipw",2,0.0132132639681317,1.46842561831891,0.413895011614207,0.539907141501621,1.52877848064343
"R1","A",2000,"lasso_dml","oracle_aipw",2,0.0102612089459511,1.14035579153637,0.14942313809892,0.807338760165181,1.16761696730871
