"regime","dgp","n","arm","reps","n_fail","theta0","n_treated_mean","bias","bias_mc_se","rel_bias","rmse","rmse_mc_se","sd_theta","mean_sigma","coverage","coverage_mc_se","coverage_mc_se_nominal","ci_width","ci_width_mc_se","n_leaves_e","n_leaves_m0","certified_frac","coverage_certified","n_certified","clip_frac","max_e_hat","min_e_hat","secs_mean"
"R5","A2",500,"doubletree",30,0,0.08,200.2,0.00871724517174811,0.00685128977654661,0.108965564646851,0.0379111506004304,0.00416436097393777,0.0375260595861911,0.0465975769520272,1,0,0.0397911212877111,0.182659145185614,0.00316716753313822,2.9,3.03333333333333,1,1,30,0,0.815999996900558,0.157303380329957,0.0248097737630208
"R5","A2",500,"doubletree_anchor",30,0,0.08,200.2,0.00871724517174811,0.00685128977654661,0.108965564646851,0.0379111506004304,0.00416436097393777,0.0375260595861911,0.0506945034117279,1,0,0.0397911212877111,0.222776291464186,0.00539136891528248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","A2",500,"doubletree_anchor_shallow",30,0,0.08,200.2,0.00871724517174811,0.00685128977654661,0.108965564646851,0.0379111506004304,0.00416436097393777,0.0375260595861911,0.0462510262988961,1,0,0.0397911212877111,0.230724374225905,0.00881821813013064,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","A2",500,"doubletree_crossfit",30,0,0.08,200.2,0.013336831609266,0.00751557333605053,0.166710395115825,0.0426134076540585,0.00455640227271233,0.0411644904873923,0.0506945034117279,1,0,0.0397911212877111,0.198718801802259,0.00353503966292382,NA,NA,NA,NA,NA,0,0.842696619670043,0.114285714072841,1.9395013888677
"R5","A2",500,"doubletree_crossfit_shallow",30,0,0.08,200.2,0.014875247791157,0.00616005885750679,0.185940597389463,0.0363554181045798,0.00785650345446653,0.0337400319181597,0.0462510262988961,0.966666666666667,0.0327730693416725,0.0397911212877111,0.181300691587702,0.00162534586986266,NA,NA,NA,NA,NA,0,0.678571423249585,0.139784944954739,4.53604257106781
"R5","B_eps15",500,"doubletree",30,0,0.1,239.9,0.0762068437030508,0.00756922303681904,0.762068437030509,0.0864232839646439,0.00726695280274196,0.0414583420005354,0.0515566712872223,0.766666666666667,0.0772202237950847,0.0397911212877111,0.202098437771452,0.00204960613913487,2,2,1,0.766666666666667,30,0,0.748987853527069,0.20960699334155,0.010770312945048
"R5","B_eps15",500,"doubletree_anchor",30,0,0.1,239.9,0.0762068437030508,0.00756922303681904,0.762068437030509,0.0864232839646439,0.00726695280274196,0.0414583420005354,0.069166197777073,1,0,0.0397911212877111,0.466703647256946,0.0335506547936241,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","B_eps15",500,"doubletree_anchor_shallow",30,0,0.1,239.9,0.0762068437030508,0.00756922303681904,0.762068437030509,0.0864232839646439,0.00726695280274196,0.0414583420005354,0.053207814718712,0.833333333333333,0.0680413817439772,0.0397911212877111,0.226802965098441,0.00627704674117952,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","B_eps15",500,"doubletree_crossfit",30,0,0.1,239.9,-0.0185102632504447,0.0109075354109277,-0.185102632504447,0.0615864057977032,0.0152620737665162,0.0597430319135148,0.069166197777073,1,0,0.0397911212877111,0.271126513181275,0.0171115294166455,NA,NA,NA,NA,NA,0.0038,0.99,0.01,2.00146586894989
"R5","B_eps15",500,"doubletree_crossfit_shallow",30,0,0.1,239.9,0.075267722528325,0.00723072880605583,0.75267722528325,0.0847434350704287,0.00741541706779673,0.0396043327427918,0.053207814718712,0.833333333333333,0.0680413817439772,0.0397911212877111,0.208570801089511,0.00233044904426129,NA,NA,NA,NA,NA,0,0.760869562625885,0.196808516979218,4.54622962474823
