"regime","dgp","n","arm","R","theta0","mean_theta","bias","mcse_bias","rel_bias","rmse","emp_var","emp_var_scaled","V_tau_full","V_full","ratio_emp_Vtau","ratio_emp_V","mcse_ratio_rel","analytic_ratio_Vtau_V","naive_over_correct","analytic_naive_over_correct","mean_se_naive","mean_se_corrected","mean_se_eif","emp_sd_theta","cov_naive","mcse_cov_naive","cov_corrected","mcse_cov_corrected","cov_eif","mcse_cov_eif","implied_cov_naive_analytic","mean_width_naive","mean_width_corrected","recovery","mcse_recovery","max_identity_gap","max_mu_leaf_gap","mean_clip_frac","mean_n_leaves_m0","secs_per_rep"
"A","A",1000,"fitted_tie",50,0.25,0.261555313337779,0.0115553133377792,0.0106009110657168,0.0462212533511168,0.0751006772411069,0.00561896577116189,5.61896577116189,5.64880952380952,5.64880952380952,0.99471680669673,0.99471680669673,0.202030508910442,1,0.382399394751912,0.376185458377239,0.0460581758482657,0.0746096006640072,0.0746096006640072,0.0749597610132389,0.8,0.0565685424949238,0.94,0.0335857112474933,0.94,0.0335857112474933,0.770684323375177,0.180544731712427,0.29246426040474,1,0,4.05231403988182e-15,4.90312518020702e-07,0,2,0.0269042301177978
"A","A",1000,"oracle_tie",50,0.25,0.261555313337779,0.0115553133377792,0.0106009110657168,0.0462212533511168,0.0751006772411069,0.00561896577116189,5.61896577116189,5.64880952380952,5.64880952380952,0.99471680669673,0.99471680669673,0.202030508910442,1,0.382399394751912,0.376185458377239,0.0460581758482657,0.0746096006640072,0.0746096006640072,0.0749597610132389,0.8,0.0565685424949238,0.94,0.0335857112474933,0.94,0.0335857112474933,0.770684323375177,0.180544731712427,0.29246426040474,1,0,4.05231403988182e-15,0,0,2,0.00243280410766602
"A","A",1000,"two_tree",50,0.25,0.261555313337779,0.0115553133377787,0.0106009110657172,0.0462212533511148,0.0751006772411095,0.0056189657711623,5.6189657711623,5.64880952380952,5.64880952380952,0.994716806696803,0.994716806696803,0.202030508910442,1,NA,0.376185458377239,NA,NA,0.0746096007997631,0.0749597610132416,NA,NA,NA,NA,0.94,0.0335857112474933,0.770684323375177,NA,NA,1,0,NA,NA,NA,2,0.0269042301177978
"B","B",1000,"fitted_tie",50,0.25,0.255691735583686,0.00569173558368591,0.00886769004927278,0.0227669423347436,0.0623342303044098,0.00393179634049857,3.93179634049857,5.25,9.75,0.748913588666394,0.403261163128058,0.202030508910442,0.538461538461538,0.617504605625962,0.619047619047619,0.0568656621216593,0.0723732934947645,0.0723732934947645,0.0627040376730125,0.92,0.0383666521865017,0.98,0.0197989898732233,0.98,0.0197989898732233,0.876948619486086,0.222909299430951,0.28369809738457,1,0,4.10782519111308e-15,5.36846206822261e-07,0,2,0.0153197765350342
"B","B",1000,"oracle_tie",50,0.25,0.255691735583686,0.00569173558368591,0.00886769004927278,0.0227669423347436,0.0623342303044098,0.00393179634049857,3.93179634049857,5.25,9.75,0.748913588666394,0.403261163128058,0.202030508910442,0.538461538461538,0.617504605625962,0.619047619047619,0.0568656621216593,0.0723732934947645,0.0723732934947645,0.0627040376730125,0.92,0.0383666521865017,0.98,0.0197989898732233,0.98,0.0197989898732233,0.876948619486086,0.222909299430951,0.28369809738457,1,0,4.10782519111308e-15,0,0,2,0.0019917631149292
"B","B",1000,"two_tree",50,0.25,0.269929462385188,0.0199294623851883,0.0118007104666509,0.0797178495407533,0.0849750850504498,0.00696283837588626,6.96283837588626,5.25,9.75,1.32625492874024,0.714137269321668,0.202030508910442,0.538461538461538,NA,0.619047619047619,NA,NA,0.0979158754866214,0.0834436239378795,NA,NA,NA,NA,1,0,0.876948619486086,NA,NA,1,0,NA,NA,NA,2,0.0153197765350342
"C","C",1000,"fitted_tie",50,0.1,0.0929642138823324,-0.00703578611766759,0.00756923452186829,-0.0703578611766759,0.0534497384221724,0.00286466556235213,2.86466556235213,2.30104321907601,1.1625177089658,1.24494209348334,2.46419090243417,0.202030508910442,1.97936186376298,0.314020146394468,0.31144709646366,0.0267143023497805,0.0477558361879258,0.0477558361879258,0.0535225705880438,0.72,0.0634980314655502,0.9,0.0424264068711928,0.9,0.0424264068711928,0.725959853781934,0.104718140955367,0.187199437959858,1,0,1.85962356624714e-15,5.15493736585881e-07,0,2,0.0162581014633179
"C","C",1000,"oracle_tie",50,0.1,0.0929642138823324,-0.00703578611766759,0.00756923452186829,-0.0703578611766759,0.0534497384221724,0.00286466556235213,2.86466556235213,2.30104321907601,1.1625177089658,1.24494209348334,2.46419090243417,0.202030508910442,1.97936186376298,0.314020146394468,0.31144709646366,0.0267143023497805,0.0477558361879258,0.0477558361879258,0.0535225705880438,0.72,0.0634980314655502,0.9,0.0424264068711928,0.9,0.0424264068711928,0.725959853781934,0.104718140955367,0.187199437959858,1,0,1.85962356624714e-15,0,0,2,0.00192809104919434
"C","C",1000,"two_tree",50,0.1,0.0880411131989219,-0.0119588868010781,0.00737911596358671,-0.119588868010781,0.0530201022379244,0.00272256762020301,2.72256762020301,2.30104321907601,1.1625177089658,1.18318838934988,2.3419579755263,0.202030508910442,1.97936186376298,NA,0.31144709646366,NA,NA,0.0491434079613079,0.0521782293701407,NA,NA,NA,NA,0.96,0.027712812921102,0.725959853781934,NA,NA,1,0,NA,NA,NA,2,0.0162581014633179
"E","E",1000,"fitted_tie",50,0.25,0.241113855205011,-0.00888614479498864,0.0096239566438803,-0.0355445791799546,0.0679512332632647,0.00463102707416439,4.63102707416439,4.84072022160665,5.21006463527239,0.956681415607064,0.888861731735939,0.202030508910442,0.929109437306159,0.449581518374462,0.4620886981402,0.0473680908362312,0.070802366546594,0.070802366546594,0.0680516500473309,0.86,0.0490713765855412,0.96,0.027712812921102,0.96,0.027712812921102,0.817247176164759,0.18567950411087,0.277540176903056,NA,NA,3.66373598126302e-15,5.35793686307073e-07,0,3,0.0385340738296509
