approach,approach_name,dgp,dgp_name,n,reps,mean_theta,bias,sd_theta,rmse,mean_se,coverage,coverage_lower,coverage_upper,mean_ci_width,median_ci_width,n_errors
1,full_sample,1,simple,500,500,0.1519452728506022,0.0019452728506022014,0.04686523764157833,0.0019452728506022014,0.04405162126587745,0.928,0.956,0.972,0.17267918228343707,0.17252707335489878,0
1,full_sample,1,simple,1000,500,0.1488508285060694,-0.0011491714939306065,0.03037033126480839,0.0011491714939306065,0.0310367787223332,0.956,0.978,0.978,0.12166193698382427,0.12156134523775622,0
1,full_sample,1,simple,2000,500,0.15017967859516454,1.7967859516453873e-4,0.0207577672369984,1.7967859516453873e-4,0.02188301767617363,0.962,0.984,0.978,0.08577985303670738,0.08580637768920646,0
1,full_sample,2,moderate,500,500,0.14802391635850115,-0.001976083641498834,0.04156462440841172,0.001976083641498834,0.04245165493387377,0.958,0.984,0.974,0.16640742950902931,0.1662143595178568,0
1,full_sample,2,moderate,1000,500,0.14826008184902356,-0.0017399181509764306,0.028396474369724388,0.0017399181509764306,0.029693968685618338,0.95,0.984,0.966,0.1163982183637442,0.11637585033575673,0
1,full_sample,2,moderate,2000,500,0.14913488319847468,-8.651168015253068e-4,0.021529895705568892,8.651168015253068e-4,0.020871817733900153,0.944,0.972,0.972,0.08181602210065739,0.08170561377463853,0
1,full_sample,3,complex,500,500,0.12747184682970875,-0.022528153170291252,0.04422464169185671,0.022528153170291252,0.041491002725074326,0.9,0.986,0.914,0.1626417420471978,0.1621661660556823,0
1,full_sample,3,complex,1000,500,0.12989263732910777,-0.020107362670892227,0.02965057516745872,0.020107362670892227,0.028929329865234617,0.892,0.994,0.898,0.11340088926547762,0.1135264054568148,0
1,full_sample,3,complex,2000,500,0.13302704249280944,-0.016972957507190564,0.019988617467240406,0.016972957507190564,0.02020030977542861,0.8877755511022044,1,0.8877755511022044,0.0791837592727849,0.0791063697537412,1
1,full_sample,4,continuous,500,500,0.15925407633531113,0.009254076335311138,0.045731273726369634,0.009254076335311138,0.04505411838690241,0.948,0.974,0.974,0.17660889878706507,0.1764041387064763,0
1,full_sample,4,continuous,1000,500,0.15755835281593797,0.007558352815937965,0.03225528852710897,0.007558352815937965,0.03150621032924355,0.938,0.952,0.986,0.12350207506932236,0.1233814245691513,0
1,full_sample,4,continuous,2000,500,0.15668813032710227,0.006688130327102273,0.022153377934902414,0.006688130327102273,0.022132063152054546,0.938,0.948,0.99,0.08675609336318586,0.08672538791287358,0
2,crossfit_separate,1,simple,500,500,0.14950427838478217,-4.95721615217818e-4,0.04819021768556197,4.95721615217818e-4,0.04609187028654523,0.938,0.968,0.97,0.18067681148344097,0.1802277378968433,0
2,crossfit_separate,1,simple,1000,500,0.15129755356234287,0.0012975535623428601,0.030512003556432184,0.0012975535623428601,0.031673576167234166,0.954,0.972,0.982,0.12415813709873032,0.1238929323271316,0
2,crossfit_separate,1,simple,2000,500,0.15114758642874263,0.0011475864287426192,0.023304517711657778,0.0011475864287426192,0.022074967149901353,0.936,0.97,0.966,0.0865322811474229,0.08650709205469788,0
2,crossfit_separate,2,moderate,500,500,0.15399763099772953,0.003997630997729548,0.04674520515773187,0.003997630997729548,0.047771331730537915,0.944,0.97,0.974,0.18726017937073958,0.1851807050175304,0
2,crossfit_separate,2,moderate,1000,500,0.1483367620710951,-0.001663237928904884,0.030887767312592674,0.001663237928904884,0.03115152484877095,0.954,0.978,0.976,0.1221117335341912,0.121818476696304,0
2,crossfit_separate,2,moderate,2000,500,0.15006170343684952,6.170343684952434e-5,0.02183447107128355,6.170343684952434e-5,0.021344891228543546,0.938,0.968,0.97,0.0836704361237405,0.0836810428893277,0
2,crossfit_separate,3,complex,500,500,0.1254959479791515,-0.024504052020848488,0.1789102173780898,0.024504052020848488,0.11213094130390029,0.95,0.984,0.966,0.43954521301643856,0.24154816660675071,0
2,crossfit_separate,3,complex,1000,500,0.12898841386012028,-0.021011586139879707,0.032523642852690444,0.021011586139879707,0.03342987947330305,0.9238476953907816,1,0.9238476953907816,0.13104271955037758,0.12904714756505106,1
2,crossfit_separate,3,complex,2000,460,0.12880820507743304,-0.02119179492256695,0.02213580905344825,0.02119179492256695,0.02140811618608789,0.8195652173913044,1,0.8195652173913044,0.08391827340316248,0.08364002598731796,0
2,crossfit_separate,4,continuous,500,500,0.15475412947197903,0.004754129471979049,0.046921287872122686,0.004754129471979049,0.04960908523788209,0.958,0.972,0.986,0.1944640407444531,0.1930402919697729,0
2,crossfit_separate,4,continuous,1000,500,0.1572874219038012,0.007287421903801218,0.032302741650256865,0.007287421903801218,0.03286983866545799,0.948,0.96,0.988,0.12884739992387953,0.12844966997220822,0
2,crossfit_separate,4,continuous,2000,500,0.1589478388610447,0.008947838861044694,0.02159654872922314,0.008947838861044694,0.022543267275299168,0.944,0.952,0.992,0.0883679839068935,0.08832242603366544,0
3,doubletree,1,simple,500,500,0.1609689247318356,0.010968924731835604,0.047355964148668356,0.010968924731835604,0.04537058843982747,0.94,0.952,0.988,0.1778494385989023,0.1775977363086223,0
3,doubletree,1,simple,1000,500,0.16155704943898624,0.011557049438986241,0.03303471223618775,0.011557049438986241,0.031668812867393294,0.926,0.938,0.988,0.12413946530645897,0.12405419413248592,0
3,doubletree,1,simple,2000,500,0.16140656395470637,0.01140656395470638,0.022976204832644162,0.01140656395470638,0.022232155769138565,0.918,0.924,0.994,0.08714844921239193,0.0871346640812108,0
3,doubletree,2,moderate,500,500,0.1491962689049547,-8.03731095045295e-4,0.0446321055977029,8.03731095045295e-4,0.04404167422467375,0.948,0.974,0.974,0.17264019059841307,0.17376566326573215,0
3,doubletree,2,moderate,1000,500,0.15053212544535036,5.321254453503615e-4,0.03233733887702804,5.321254453503615e-4,0.03127966668170772,0.94,0.974,0.966,0.12261404028912924,0.12299806240347623,0
3,doubletree,2,moderate,2000,500,0.15015639360330346,1.563936033034567e-4,0.022877842652085395,1.563936033034567e-4,0.022187543112002713,0.94,0.964,0.976,0.08697357080991013,0.08702863670982947,0
3,doubletree,3,complex,500,480,0.14217387994735903,-0.007826120052640963,0.044682300864214736,0.007826120052640963,0.04393774556538161,0.94375,0.9770833333333333,0.9666666666666667,0.17223279774006484,0.17156177358933844,0
3,doubletree,3,complex,1000,430,0.14526136757929445,-0.004738632420705549,0.030426030908475052,0.004738632420705549,0.030752235411927873,0.9511627906976744,0.9837209302325581,0.9674418604651163,0.12054654770295178,0.12118208452309134,0
3,doubletree,3,complex,2000,290,0.14560493592019144,-0.004395064079808563,0.022311701706450346,0.004395064079808563,0.021968950994211835,0.9482758620689655,0.9896551724137931,0.9586206896551724,0.0861167054535612,0.08570924047639583,0
3,doubletree,4,continuous,500,500,0.18799387151826955,0.03799387151826956,0.04245114271353114,0.03799387151826956,0.04488083520556585,0.8881431767337807,0.8903803131991052,0.9977628635346756,0.17592964119797272,0.17388027839918005,53
