"dgp","label","eps","residual_mode","nuisance","theta0","p","leaf_budget","card_T","delta_sq","delta_kl","sparsity_holds","n_sufficient","margin_kl","n_argmin","argmin_key","argmin_leaves","n_distinct_values","D_w","D_mu","D_product","bias_pseudo","bilinear_form","ip_gh","cor_gh","ip_resid","cor_resid","e0_min","e0_max"
"eps0","F: eps = 0, exact sparsity (favourable)",0,"aligned","e",0.1,5,2,6,6.16297582203915e-33,2.77555756156289e-17,TRUE,1,0.105296935868229,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,2,7.1212700246661e-16,0,0,0,0,1,1,0,NA,0.25,0.7
"eps0","F: eps = 0, exact sparsity (favourable)",0,"aligned","mu",0.1,5,2,6,0,0,TRUE,1,0.06919153547811,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,2,7.1212700246661e-16,0,0,0,0,1,1,0,NA,0.25,0.7
"eps_small","V1: eps = 0.03, small violation",0.03,"aligned","e",0.1,5,2,6,0.000900000000000001,0.00227503465693658,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,0.184666458157315,0.0299399398796992,0.005528902655027,0.00442105263157896,0.0021,1,1,0.004,0.723470867471887,0.22,0.73
"eps_small","V1: eps = 0.03, small violation",0.03,"aligned","mu",0.1,5,2,6,0.000896400000000002,0.00227587441121468,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,0.184666458157315,0.0299399398796992,0.005528902655027,0.00442105263157896,0.0021,1,1,0.004,0.723470867471887,0.22,0.73
"eps_mod","V2: eps = 0.09, moderate violation",0.09,"aligned","e",0.1,5,2,6,0.00809999999999999,0.0207471946489675,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,0.576649476058813,0.0883651515021617,0.0509557183155792,0.0397894736842105,0.0189,1,1,0.036,0.706495780847296,0.16,0.79
"eps_mod","V2: eps = 0.09, moderate violation",0.09,"aligned","mu",0.1,5,2,6,0.00780839999999999,0.0202472245743906,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,0.576649476058813,0.0883651515021617,0.0509557183155792,0.0397894736842105,0.0189,1,1,0.036,0.706495780847296,0.16,0.79
"eps_sev","V3: eps = 0.15, severe violation",0.15,"aligned","e",0.1,5,2,6,0.0225,0.0593640878567799,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,1.05409255338946,0.142302494707577,0.15,0.110526315789474,0.0525,1,1,0.1,0.666666666666667,0.1,0.85
"eps_sev","V3: eps = 0.15, severe violation",0.15,"aligned","mu",0.1,5,2,6,0.02025,0.055293541116657,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,1.05409255338946,0.142302494707577,0.15,0.110526315789474,0.0525,1,1,0.1,0.666666666666667,0.1,0.85
"orth_blind","B: eps = 0.15, ORTHOGONAL misspecification (b = 0)",0.15,"orthogonal","e",0.1,5,2,6,0.0225,0.0593640878567799,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,1.05409255338946,0.15,0.158113883008419,-1.38777878078145e-17,4.33680868994202e-19,2.64338815386942e-17,2.64338815386942e-17,8.26058798084194e-19,5.22445456633438e-18,0.1,0.85
"orth_blind","B: eps = 0.15, ORTHOGONAL misspecification (b = 0)",0.15,"orthogonal","mu",0.1,5,2,6,0.0225,0.0596832565804874,FALSE,0,NA,1,"1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2.1.2",2,4,1.05409255338946,0.15,0.158113883008419,-1.38777878078145e-17,4.33680868994202e-19,2.64338815386942e-17,2.64338815386942e-17,8.26058798084194e-19,5.22445456633438e-18,0.1,0.85
