"n","lambda","rep","mse_e","mse_m0","mse_m1","num_leaves_e","num_leaves_m0","num_leaves_m1"
400,0.01,1,0.00361577204833218,0.000781743464105896,0.00196940111012769,0,0,0
800,0.01,1,0.00170583875482078,0.00193008301085298,0.00170412643545802,0,0,0
1600,0.01,1,0.000368996001163398,0.00171139692868775,0.00386610021099102,0,0,0
3200,0.01,1,0.00059090204602353,0.000452451421708136,0.000190977253290507,0,0,0
400,0.05,1,0.00312210079189521,0.00358572515677393,0.00386756449446319,0,0,0
800,0.05,1,0.00243406672587788,0.00133281527472812,0.00195134068727127,0,0,0
1600,0.05,1,0.000357480447568919,0.000575248470091805,0.000185739864582073,0,0,0
3200,0.05,1,0.000373198976074645,0.000999189241086607,0.000794620087329897,0,0,0
400,0.1,1,0.0024168813092426,0.00839398126037284,0.00712072267529899,0,0,0
800,0.1,1,0.00184623404756712,0.00130268698467147,0.00338186073201252,0,0,0
1600,0.1,1,0.00133811898173817,0.000587561393587507,0.000788061521902107,0,0,0
3200,0.1,1,0.0002471329066311,0.000567877717533909,0.000360404441295292,0,0,0
400,0.2,1,0.00220417677482442,0.0118967945474082,0.00203347987014313,0,0,0
800,0.2,1,0.00347702645055968,0.00688721908606882,0.00264111814746254,0,0,0
1600,0.2,1,0.000656338473483687,0.00147748559252198,0.00107305889371307,0,0,0
3200,0.2,1,9.67071380372421e-05,0.000903836008886984,0.000870072415453912,0,0,0
400,0.5,1,0.0007446209935029,0.00415789948962485,0.0169843141583659,0,0,0
800,0.5,1,0.00158621840655909,0.00573908356452351,0.00190157845022046,0,0,0
1600,0.5,1,0.000309559134210265,0.00174965119566662,0.000312325279580684,0,0,0
3200,0.5,1,0.000300414656443548,0.000206300046030093,0.0019432157659009,0,0,0
400,0.01,2,0.00322811743582441,0.00859403094234138,0.00302300008295248,0,0,0
800,0.01,2,0.00140931647678939,0.00515684709121435,0.00078688321077624,0,0,0
1600,0.01,2,0.000562070771083632,0.00140649763093851,0.000264862712397554,0,0,0
3200,0.01,2,0.000513353094483353,0.000876371471717135,0.000346732340504751,0,0,0
400,0.05,2,0.00344133913979984,0.01063010598535,0.00300370056083253,0,0,0
800,0.05,2,0.00354672908848447,0.00146335754334459,0.00249226712259546,0,0,0
1600,0.05,2,0.000724610018169418,0.000767611626344458,0.000206910661375341,0,0,0
3200,0.05,2,0.000233189905236912,0.000137958757278962,0.000290275645117421,0,0,0
400,0.1,2,0.00643916757499315,0.00291337943613237,0.00537038604412466,0,0,0
800,0.1,2,0.00212330343202522,0.00545507230416995,0.000741010570920124,0,0,0
1600,0.1,2,0.000957136027617999,0.00897305778934905,0.000266764670237791,0,0,0
3200,0.1,2,0.000330593844445826,0.000944793774413534,0.000108772356696804,0,0,0
400,0.2,2,0.00154651182689392,0.0130614583041601,0.0113881250986662,0,0,0
800,0.2,2,0.00234948814804509,0.00356601014565769,0.000293811254397263,0,0,0
1600,0.2,2,0.000270077484335252,0.00305850545243569,0.00138869972399438,0,0,0
3200,0.2,2,0.000815455075771119,0.000558284407222578,0.000785583010652991,0,0,0
400,0.5,2,0.00159008147511106,0.00828609370965494,0.00811090507297065,0,0,0
800,0.5,2,0.00184468260570262,0.00304304421334403,0.00369097418345765,0,0,0
1600,0.5,2,0.00160945684544723,0.00157402434155487,0.000695153361855978,0,0,0
3200,0.5,2,0.000131021435544264,0.00010516237552612,9.98087878559051e-05,0,0,0
400,0.01,3,0.00526469164919311,0.00257620465658492,0.00719388314472031,0,0,0
800,0.01,3,0.000803210707554168,0.0021825277319202,0.000359987067326027,0,0,0
1600,0.01,3,0.00048352779243343,0.00105733752592097,0.00103733883945746,0,0,0
3200,0.01,3,0.000304048223892721,0.0013423035506724,0.000814281954734691,0,0,0
400,0.05,3,0.00061380199942782,0.00185946368961998,0.00613967956376524,0,0,0
800,0.05,3,0.0019410877443363,0.00243395332716698,0.00224377215705663,0,0,0
1600,0.05,3,0.00156282845843843,0.000510944702805227,0.000282174083812343,0,0,0
3200,0.05,3,0.000514065244703781,0.000511625580517995,3.6495777692811e-05,0,0,0
400,0.1,3,0.00082070855752715,0.00886248817983793,0.00551010798822457,0,0,0
800,0.1,3,0.00449474442414679,0.00914422190598658,0.00166799762317344,0,0,0
1600,0.1,3,0.00110987819893543,0.00359865988119486,0.000684062505717469,0,0,0
3200,0.1,3,0.000577323528940966,0.00177376398097903,0.000456352726127784,0,0,0
400,0.2,3,0.00271813767203803,0.00837566613405782,0.000274476025871161,0,0,0
800,0.2,3,0.00322387182241312,0.0102039825458539,0.00270316597862528,0,0,0
1600,0.2,3,0.000771884153453719,0.000466599352401867,0.000121519480944118,0,0,0
3200,0.2,3,0.00031244531715617,0.00123762876497875,0.00025332223504004,0,0,0
400,0.5,3,0.00854923929363578,0.00583279029423043,0.0029005106724829,0,0,0
800,0.5,3,0.000507164057253089,0.000228978912563093,0.000962383601789917,0,0,0
1600,0.5,3,0.00142990075995517,0.000790396935142723,0.00200938671344463,0,0,0
3200,0.5,3,0.000278914188397602,0.00116543836701795,0.000330905012075325,0,0,0
400,0.01,4,0.00276250158334912,0.0305608425301624,0.00155420352509908,0,0,0
800,0.01,4,0.00134831707741519,0.00290388124493623,0.00209076391744975,0,0,0
1600,0.01,4,0.00021228164736766,0.00179323857942884,0.00144611553143403,0,0,0
3200,0.01,4,0.000211521734426592,0.000360023840708511,0.000234250251627279,0,0,0
400,0.05,4,0.00161793855225525,0.00476447320627837,0.00595369879859152,0,0,0
800,0.05,4,0.000392964990779784,0.000591304022104131,0.00173355525006615,0,0,0
1600,0.05,4,4.17297040062628e-05,8.6466945131342e-05,0.000730411720757134,0,0,0
3200,0.05,4,0.000282266927597174,0.000603213229269421,0.000282624005764554,0,0,0
400,0.1,4,0.000521601333478371,0.004997267812525,0.00716768812409796,0,0,0
800,0.1,4,0.00104761740688115,0.00435226387736129,0.00114042122062593,0,0,0
1600,0.1,4,0.000980223257061799,0.00139115787101207,0.00105964496974305,0,0,0
3200,0.1,4,0.000139472277714959,0.000522427060037497,0.000469407287831101,0,0,0
400,0.2,4,0.00273934762628241,0.00240960093592071,0.00613812951297815,0,0,0
800,0.2,4,0.00183177429100059,0.00621327639307457,0.00183359886439129,0,0,0
1600,0.2,4,0.00236857313273692,0.000136634440252575,0.00115425071418487,0,0,0
3200,0.2,4,0.000582014849670542,0.00110957242900754,0.00125256740935452,0,0,0
400,0.5,4,0.00143652830961565,0.0123321751036027,0.00107002995498787,0,0,0
800,0.5,4,0.000893990864501648,0.00454350828308349,0.00199915568662826,0,0,0
1600,0.5,4,0.00245213061547127,0.00192432305592648,0.000871706429920865,0,0,0
3200,0.5,4,0.000170545544411454,0.000444453484759856,0.000688384814897508,0,0,0
400,0.01,5,0.000937105589690734,0.0033702591904232,0.0034937258444499,0,0,0
800,0.01,5,0.00215480749305026,0.00779739286759603,0.00111063034663961,0,0,0
1600,0.01,5,0.00107080839189532,0.00123099904877817,0.00103973122416644,0,0,0
3200,0.01,5,0.00058487361832114,0.000146372004516294,0.000328056069173754,0,0,0
400,0.05,5,0.00422340681621293,0.00902182686420974,0.00251110740035051,0,0,0
800,0.05,5,0.000517503546612078,0.000970824490808479,0.0030818369667775,0,0,0
1600,0.05,5,0.000787495869904524,0.00178073623978611,0.000231541363077941,0,0,0
3200,0.05,5,0.000152466907203813,0.00108739384039204,0.00111932926636214,0,0,0
400,0.1,5,0.00183444842848224,0.00596374868108049,0.00566575074843794,0,0,0
800,0.1,5,0.000175782997444056,0.000877666873333758,0.00162955651905689,0,0,0
1600,0.1,5,0.00200658022497025,0.000913420095744015,0.00287499133488966,0,0,0
3200,0.1,5,0.00147008919891101,0.00326415098017131,0.000411638908318429,0,0,0
400,0.2,5,0.000278675384486994,0.00273483940870814,0.00409057887779639,0,0,0
800,0.2,5,0.000232777858777596,0.00473140997467085,0.000773148315552311,0,0,0
