"regime","dgp","n","coverage_all","n_rec_noclip","cov_rec_noclip","bias_rec_noclip","n_rec_clip","cov_rec_clip","n_fail_noclip","cov_fail_noclip","bias_fail_noclip","n_fail_clip","cov_fail_clip"
"F1","f1",2000,0.953,1000,0.953,0.000342202501384357,0,NA,0,NA,NA,0,NA
"F1","f1",4000,0.954,1000,0.954,0.000250062006800821,0,NA,0,NA,NA,0,NA
"F1","f1",8000,0.959,1000,0.959,-0.000320223178609075,0,NA,0,NA,NA,0,NA
"ST1","f1",200,0.954,709,0.954866008462623,0.00469658865888687,14,0.857142857142857,269,0.95910780669145,-0.00573738499233729,8,0.875
"ST1","f1",500,0.94,990,0.94040404040404,0.00110059351649027,1,1,9,0.888888888888889,-0.0471602631394318,0,NA
"ST1","f1",1000,0.957,998,0.956913827655311,-0.000441503808191397,0,NA,2,1,-0.0321119876662127,0,NA
"ST2","f1_weak",200,0.942,1,1,-0.0740286951073503,0,NA,995,0.942713567839196,0.00241417683451758,4,0.75
"ST2","f1_weak",500,0.953,14,1,-0.0185693185659584,0,NA,986,0.952332657200811,-0.0031166936907366,0,NA
"ST2","f1_weak",1000,0.948,86,0.941860465116279,-0.00120435076288269,0,NA,914,0.948577680525164,-0.000974453083700099,0,NA
"ST2","f1_weak",2000,0.962,480,0.970833333333333,0.000193184331300674,0,NA,520,0.953846153846154,-0.000710272202474812,0,NA
"ST2","f1_weak",4000,0.954,946,0.954545454545455,0.000907537835522889,0,NA,54,0.944444444444444,0.00623990017353412,0,NA
"ST2","f1_weak",8000,0.951,1000,0.951,-0.000236274522624098,0,NA,0,NA,NA,0,NA
"ST3","st3_weak_overlap",200,0.868,0,NA,NA,0,NA,690,0.928985507246377,0.0170104793804754,310,0.732258064516129
"ST3","st3_weak_overlap",500,0.886,0,NA,NA,0,NA,676,0.911242603550296,-0.00361860830124653,324,0.833333333333333
"ST3","st3_weak_overlap",1000,0.92,2,0,0.234739382836358,0,NA,819,0.919413919413919,-0.001461245185708,179,0.932960893854749
"ST3","st3_weak_overlap",2000,0.935,1,0,-0.164909719167211,0,NA,922,0.938177874186551,0.000891709428754085,77,0.909090909090909
"ST3","st3_weak_overlap",4000,0.944,12,0,-0.109861347860981,0,NA,963,0.956386292834891,0.00353521130850207,25,0.92
"ST3","st3_weak_overlap",8000,0.943,50,0.5,-0.0588533959749905,0,NA,948,0.966244725738397,0.00171302829357508,2,1
