"regime","dgp","n","reps","theta0","bias","bias_mcse","rmse","sd_theta","coverage","cov_mcse","ci_width","mean_sigma","rec_e","rec_e_mcse","rec_mu","rec_mu_mcse","rec_both","rec_both_mcse","clip_frac","pct_reps_any_clip"
"F1","f1",2000,1000,0.08,0.000342202501384357,0.001007805531792,0.0318555084792662,0.0318696091897996,0.953,0.00669260786241059,0.127028083894138,0.0324057189050716,1,0,1,0,1,0,0,0
"F1","f1",4000,1000,0.08,0.000250062006800821,0.000714717275108597,0.0225914252220298,0.0226013447241233,0.954,0.00662449998113065,0.0900467610828242,0.0229715346284681,1,0,1,0,1,0,0,0
"F1","f1",8000,1000,0.08,-0.000320223178609075,0.000500865507470002,0.015834075066158,0.0158387580502129,0.959,0.00627048642451286,0.0635454585603923,0.01621087404198,1,0,1,0,1,0,0,0
"ST1","f1",200,1000,0.08,0.00152899638353637,0.00347792475804527,0.109937266165493,0.109981637661131,0.954,0.00662449998113065,0.394092836602275,0.100535734256045,0.898,0.00957057991973318,0.8,0.0126491106406735,0.723,0.0141517136771488,0.00483499999999999,0.022
"ST1","f1",500,1000,0.08,0.000726699548840675,0.00210702197292069,0.0666005266121111,0.0666298851445101,0.94,0.00750999334220744,0.253632321662876,0.064703311811721,1,0,0.991,0.00298646948753876,0.991,0.00298646948753876,0.000150000000000001,0.001
"ST1","f1",1000,1000,0.08,-0.000504844775907438,0.00146644381543618,0.046352582178504,0.0463730251744593,0.957,0.00641490451994416,0.18143483216884,0.0462852464637041,1,0,0.998,0.00141279864099595,0.998,0.00141279864099595,0,0
"ST2","f1_weak",200,1000,0.08,0.0021062633790817,0.00245452935406392,0.0776088009251111,0.0776190334258384,0.942,0.00739161687318817,0.296910424523214,0.0757438470464779,0.027,0.00512552436341883,0.057,0.00733150734842433,0.001,0.000999499874937461,0.000965000000000005,0.004
"ST2","f1_weak",500,1000,0.08,-0.00333303043898971,0.00149524864314555,0.0473776511472551,0.0472839138061625,0.953,0.00669260786241059,0.187783232241485,0.0479047660372065,0.106,0.00973468027209934,0.138,0.0109066951914867,0.014,0.00371537346709587,0,0
"ST2","f1_weak",1000,1000,0.08,-0.000994224284109802,0.0010916385815963,0.0345176998069668,0.0345206429955989,0.948,0.00702111102319284,0.132967080938316,0.0339207970113592,0.302,0.0145188153786733,0.328,0.0148464137083674,0.086,0.00886588969026798,0,0
"ST2","f1_weak",2000,1000,0.08,-0.000276613066262577,0.000732773121588855,0.0231623834279588,0.0231723207237228,0.962,0.00604615580348373,0.0945526944139512,0.0241210285392412,0.72,0.0141985914794391,0.661,0.0149692685192029,0.48,0.0157987341265052,0,0
"ST2","f1_weak",4000,1000,0.08,0.0011954854017755,0.000523072494523612,0.0165758986193354,0.0165410046408056,0.954,0.00662449998113065,0.0668620856230037,0.0170569679214525,0.985,0.00384382621875652,0.961,0.00612200947402077,0.946,0.00714730718522718,0,0
"ST2","f1_weak",8000,1000,0.08,-0.000236274522624098,0.000386704464026466,0.0122248365144708,0.0122286688767828,0.951,0.00682634602111555,0.0472945524022945,0.0120651585374394,1,0,1,0,1,0,0,0
"ST3","st3_weak_overlap",200,1000,0.1,0.028177384293334,0.00435902703056304,0.140627452946216,0.137844537988196,0.868,0.0107040179372047,0.476754737583446,0.121623341383828,0.381,0.0153570504980611,0,0,0,0,0.078575,0.31
"ST3","st3_weak_overlap",500,1000,0.1,0.000303252690627553,0.00423920915309886,0.133988862640399,0.134055564016259,0.886,0.0100500746265886,0.496355380383337,0.126623597244267,0.899,0.00952885092757778,0,0,0,0,0.080488,0.324
"ST3","st3_weak_overlap",1000,1000,0.1,0.00179748635009182,0.00317068739661235,0.100231912411408,0.100265939216847,0.92,0.00857904423581089,0.389517009897859,0.0993684100754708,0.999,0.000999499874937461,0.002,0.00141279864099595,0.002,0.00141279864099595,0.04429,0.179
"ST3","st3_weak_overlap",2000,1000,0.1,0.00175465509733384,0.00223203833552549,0.0705697665479682,0.0705832496507166,0.935,0.0077958322198467,0.279280922546542,0.0712464424727888,1,0,0.001,0.000999499874937461,0.001,0.000999499874937461,0.0193505,0.077
"ST3","st3_weak_overlap",4000,1000,0.1,0.00200367490749098,0.00158503553166972,0.0501382091039734,0.0501232245237226,0.944,0.00727076337120113,0.198005740659639,0.0505125967164404,1,0,0.012,0.00344325427466517,0.012,0.00344325427466517,0.00624399999999999,0.025
"ST3","st3_weak_overlap",8000,1000,0.1,-0.00130860027993172,0.00109055046699591,0.0344938176407972,0.0344862337906736,0.943,0.00733150734842434,0.139139703089484,0.0354954744543779,1,0,0.05,0.00689202437604511,0.05,0.00689202437604511,0.000491999999999999,0.002
