"regime","dgp","nuisance","n","delta_kl","card_T","lambda_n","penalised_opt_in_S","emp_failure_rate","emp_mcse","bound_c1_1","n_delta2","implied_c1"
"F1","f1","e",2000,0.0119436719607646,356,0.00380045122977104,TRUE,0,0,1,0.285302599812709,NA
"F1","f1","e",4000,0.0119436719607646,356,0.00207351241002551,TRUE,0,0,1,0.570605199625417,NA
"F1","f1","e",8000,0.0119436719607646,356,0.00112339960258275,TRUE,0,0,1,1.14121039925083,NA
"ST1","f1","e",200,0.0119436719607646,356,0.0264915868327402,FALSE,0.624,0.015317441039547,1,0.0285302599812708,222.449274757083
"ST1","f1","e",500,0.0119436719607646,356,0.0124292161968444,FALSE,0.087,0.00891240708226459,1,0.0713256499531771,116.602903676858
"ST1","f1","e",1000,0.0119436719607646,356,0.00690775527898214,TRUE,0.002,0.00141279864099595,1,0.142651299906354,84.7488865310768
"ST2","f1_weak","e",200,0.00508652183486959,356,0.0264915868327402,FALSE,0.912,0.00895857131466843,1,0.00517454087532101,1153.1546785568
"ST2","f1_weak","e",500,0.00508652183486959,356,0.0124292161968444,FALSE,0.605,0.0154588162548107,1,0.0129363521883025,492.987316592233
"ST2","f1_weak","e",1000,0.00508652183486959,356,0.00690775527898214,FALSE,0.201,0.0126727660753286,1,0.025872704376605,289.083854277645
"ST2","f1_weak","e",2000,0.00508652183486959,356,0.00380045122977104,TRUE,0.004,0.00199599599197994,1,0.0517454087532101,220.239668084703
"ST2","f1_weak","e",4000,0.00508652183486959,356,0.00207351241002551,TRUE,0,0,1,0.10349081750642,NA
"ST2","f1_weak","e",8000,0.00508652183486959,356,0.00112339960258275,TRUE,0,0,1,0.20698163501284,NA
"ST3","st3_weak_overlap","e",200,0.0214809540661981,155,0.0264915868327402,FALSE,0.619,0.0153570504980611,1,0.0922862775188227,59.8471979985356
"ST3","st3_weak_overlap","e",500,0.0214809540661981,155,0.0124292161968444,TRUE,0.101,0.00952885092757778,1,0.230715693797057,31.7969695009699
"ST3","st3_weak_overlap","e",1000,0.0214809540661981,155,0.00690775527898214,TRUE,0.001,0.000999499874937461,1,0.461431387594114,25.9002328779895
"ST3","st3_weak_overlap","e",2000,0.0214809540661981,155,0.00380045122977104,TRUE,0,0,1,0.922862775188227,NA
"ST3","st3_weak_overlap","e",4000,0.0214809540661981,155,0.00207351241002551,TRUE,0,0,1,1.84572555037645,NA
"ST3","st3_weak_overlap","e",8000,0.0214809540661981,155,0.00112339960258275,TRUE,0,0,1,3.69145110075291,NA
"F1","f1","mu",2000,0.0105988776124164,356,0.00380045122977104,TRUE,0,0,1,0.224672413285964,NA
"F1","f1","mu",4000,0.0105988776124164,356,0.00207351241002551,TRUE,0,0,1,0.449344826571929,NA
"F1","f1","mu",8000,0.0105988776124164,356,0.00112339960258275,TRUE,0,0,1,0.898689653143858,NA
"ST1","f1","mu",200,0.0105988776124164,356,0.0264915868327402,FALSE,0.413,0.0155701958882989,1,0.0224672413285964,300.848614122907
"ST1","f1","mu",500,0.0105988776124164,356,0.0124292161968444,FALSE,0.047,0.00669260786241059,1,0.0561681033214911,159.032224339082
"ST1","f1","mu",1000,0.0105988776124164,356,0.00690775527898214,TRUE,0.003,0.00172945077987204,1,0.112336206642982,104.009865299257
"ST2","f1_weak","mu",200,0.0029408295982573,356,0.0264915868327402,FALSE,0.903,0.00935900635751467,1,0.00172969574519724,3455.49988951128
"ST2","f1_weak","mu",500,0.0029408295982573,356,0.0124292161968444,FALSE,0.716,0.0142598737722323,1,0.0043242393629931,1435.8608119639
"ST2","f1_weak","mu",1000,0.0029408295982573,356,0.00690775527898214,FALSE,0.462,0.0157656588825206,1,0.00864847872598619,768.588480050225
"ST2","f1_weak","mu",2000,0.0029408295982573,356,0.00380045122977104,FALSE,0.119,0.0102390917565964,1,0.0172969574519724,462.715049103043
"ST2","f1_weak","mu",4000,0.0029408295982573,356,0.00207351241002551,TRUE,0.004,0.00199599599197994,1,0.0345939149039448,329.433418575437
"ST2","f1_weak","mu",8000,0.0029408295982573,356,0.00112339960258275,TRUE,0,0,1,0.0691878298078895,NA
"ST3","st3_weak_overlap","mu",200,0.000190947709034703,155,0.0264915868327402,FALSE,1,0,1,7.29220551712031e-06,691618.620056514
"ST3","st3_weak_overlap","mu",500,0.000190947709034703,155,0.0124292161968444,FALSE,1,0,1,1.82305137928008e-05,276647.448022606
"ST3","st3_weak_overlap","mu",1000,0.000190947709034703,155,0.00690775527898214,FALSE,0.998,0.00141279864099595,1,3.64610275856016e-05,138378.632026881
"ST3","st3_weak_overlap","mu",2000,0.000190947709034703,155,0.00380045122977104,FALSE,0.999,0.000999499874937461,1,7.29220551712031e-05,69175.5821391725
"ST3","st3_weak_overlap","mu",4000,0.000190947709034703,155,0.00207351241002551,FALSE,0.988,0.00344325427466518,1,0.000145844110342406,34663.7082998034
"ST3","st3_weak_overlap","mu",8000,0.000190947709034703,155,0.00112339960258275,FALSE,0.95,0.00689202437604511,1,0.000291688220684812,17466.3152298219
