"regime","dgp","n","reps_recovered_both","n_distinct_keys_e","n_distinct_keys_mu","mean_leaves_grid_e","mean_leaves_grid_mu","pct_recovered_are_refinements_e","pct_recovered_are_refinements_mu","coverage_given_recovered"
"F1","f1",2000,1000,1,11,3,3.018,0,0.018,0.953
"F1","f1",4000,1000,1,9,3,3.014,0,0.014,0.954
"F1","f1",8000,1000,1,9,3,3.016,0,0.016,0.959
"ST1","f1",200,723,10,11,2.928,2.99,0.0178173719376392,0.12,0.952973720608575
"ST1","f1",500,991,6,11,3.005,3.072,0.005,0.0696266397578204,0.940464177598386
"ST1","f1",1000,998,3,11,3.002,3.052,0.002,0.0501002004008016,0.956913827655311
"ST2","f1_weak",200,1,2,6,2.04,2.173,0.037037037037037,0.157894736842105,1
"ST2","f1_weak",500,14,3,10,2.114,2.203,0.0188679245283019,0.0869565217391304,1
"ST2","f1_weak",1000,86,1,8,2.304,2.361,0,0.0365853658536585,0.941860465116279
"ST2","f1_weak",2000,480,1,7,2.72,2.683,0,0.010590015128593,0.970833333333333
"ST2","f1_weak",4000,946,1,9,2.985,2.976,0,0.00832466181061394,0.954545454545455
"ST2","f1_weak",8000,1000,1,5,3,3.004,0,0.004,0.951
"ST3","st3_weak_overlap",200,0,1,0,3.367,1.551,0,NA,NA
"ST3","st3_weak_overlap",500,0,1,0,3.9,1.493,0,NA,NA
"ST3","st3_weak_overlap",1000,2,1,1,3.999,1.526,0,0,0
"ST3","st3_weak_overlap",2000,1,1,1,4,1.967,0,0,0
"ST3","st3_weak_overlap",4000,12,1,1,4,2.569,0,0,0
"ST3","st3_weak_overlap",8000,50,1,1,4,3.039,0,0,0.5
