"n","lambda","rep","theta","sigma","true_tau","bias","ci_lower","ci_upper","ci_width","coverage","mean_score","sd_score"
800,0.01,1,0.168206977025355,0.676601598687674,0.15,0.0182069770253551,0.121321739866237,0.215092214184473,0.0937704743182353,1,-7.99360577730113e-17,0.677024871546521
1600,0.01,1,0.163647296437046,0.676026469276207,0.15,0.0136472964370455,0.130522608127617,0.196771984746474,0.066249376618857,1,-2.35225033895503e-15,0.676237826626777
3200,0.01,1,0.172159303695182,0.660056674531017,0.15,0.0221593036951823,0.149289926957181,0.195028680433184,0.0457387534760034,1,-1.64428800436545e-15,0.660159832564709
800,0.05,1,0.176583267905834,0.692203749987808,0.15,0.0265832679058342,0.12861687668897,0.224549659122699,0.095932782433729,1,1.40148309624166e-15,0.692636783342635
1600,0.05,1,0.13858884287834,0.64008632286977,0.15,-0.0114111571216597,0.107225189382805,0.169952496373876,0.0627273069910713,1,2.03753680594332e-15,0.640286443657172
3200,0.05,1,0.157456790545228,0.659131210261346,0.15,0.00745679054522819,0.134619478918992,0.180294102171464,0.0456746232524716,1,4.64253635534817e-15,0.659234223657341
800,0.1,1,0.151785355103524,0.694519522508404,0.15,0.00178535510352407,0.103658491987029,0.19991221822002,0.0962537262329909,1,8.08658695561348e-16,0.694954004579371
1600,0.1,1,0.174544974808465,0.676646116657223,0.15,0.0245449748084652,0.141389924335289,0.207700025281641,0.0663101009463523,1,-3.49897194551474e-15,0.676857667738412
3200,0.1,1,0.141614438094622,0.64367513631118,0.15,-0.00838556190537829,0.11931264226831,0.163916233920933,0.0446035916526232,1,-2.15100073169827e-15,0.643775734129456
800,0.01,2,0.139614378501624,0.643954153741855,0.15,-0.010385621498376,0.0949914522827891,0.184237304720459,0.0892458524376697,1,1.09693504279917e-15,0.6443570027983
1600,0.01,2,0.145753913202919,0.646305492011151,0.15,-0.00424608679708097,0.114085526019112,0.177422300386726,0.0633367743676147,1,-2.78325973379623e-15,0.646507557200395
3200,0.01,2,0.16230674022333,0.659512799723154,0.15,0.0123067402233304,0.139456207439733,0.185157273006927,0.0457010655671941,1,7.2913550197562e-15,0.659615872756482
800,0.05,2,0.180822753597995,0.669158574937807,0.15,0.0308227535979954,0.134453282192861,0.22719222500313,0.0927389428102687,1,1.40443212615082e-16,0.669577191541115
1600,0.05,2,0.175594820865066,0.672495981335549,0.15,0.025594820865066,0.142643123285926,0.208546518444206,0.0659033951582798,1,1.35089855968218e-15,0.672706234891207
3200,0.05,2,0.143259657128206,0.651248356122153,0.15,-0.00674034287179376,0.120695467444428,0.165823846811985,0.0451283793675566,1,9.13488035214627e-16,0.651350137533436
800,0.1,2,0.153485544941567,0.667033358031768,0.15,0.00348554494156683,0.107263340848315,0.199707749034819,0.0924444081865035,1,-1.10786380069783e-15,0.667450645127967
1600,0.1,2,0.166610058943613,0.67574815827894,0.15,0.0166100589436131,0.133499007622463,0.199721110264763,0.0662221026422997,1,-3.05656541743637e-15,0.675959428616532
3200,0.1,2,0.130586194635856,0.63120818770517,0.15,-0.0194138053641437,0.108716348603321,0.152456040668392,0.0437396920650712,1,-2.26548814430405e-15,0.631306837106056
800,0.01,3,0.181078442098588,0.686251456977722,0.15,0.0310784420985878,0.13352451616404,0.228632368033136,0.0951078518690963,1,1.12798659301916e-15,0.686680766658109
1600,0.01,3,0.16034269147923,0.645659433216379,0.15,0.0103426914792296,0.128705960594663,0.191979422363796,0.0632734617691324,1,-2.7777086186731e-15,0.645861296417563
3200,0.01,3,0.164260824734993,0.655740443638295,0.15,0.0142608247349931,0.141540995019516,0.18698065445047,0.0454396594309533,1,-7.43818201476287e-15,0.655842927102798
800,0.05,3,0.185534639093309,0.695436433295149,0.15,0.0355346390933095,0.137344238468517,0.233725039718102,0.0963808012495846,1,-5.15247566834631e-16,0.695871488973169
1600,0.05,3,0.150734006535702,0.657667086284535,0.15,0.000734006535702464,0.118508911462325,0.18295910160908,0.0644501901467542,1,-2.4937343856557e-15,0.657872703637154
3200,0.05,3,0.135733341017993,0.633897329088941,0.15,-0.0142666589820069,0.113770322702258,0.157696359333728,0.0439260366314704,1,4.58826553140224e-15,0.633996398766674
800,0.1,3,0.126136137477873,0.63084362307884,0.15,-0.0238638625221275,0.082421707988294,0.169850566967451,0.087428858979157,1,8.64447402548763e-16,0.631238270363656
1600,0.1,3,0.119890476431378,0.631984289435266,0.15,-0.0301095235686224,0.0889238152791711,0.150857137583584,0.0619333223044129,1,2.46766149181177e-15,0.632181877149782
3200,0.1,3,0.151270517164008,0.644365700654406,0.15,0.00127051716400806,0.128944794943591,0.173596239384426,0.0446514444408351,1,3.24169510679262e-15,0.644466406398657
800,0.01,4,0.128888034046176,0.640107839948335,0.15,-0.0211119659538236,0.084531638877146,0.173244429215207,0.0887127903380609,1,-6.15341111398493e-16,0.640508282802608
1600,0.01,4,0.159192884758575,0.668258871459466,0.15,0.00919288475857455,0.126448801748326,0.191936967768823,0.0654881660204967,1,1.56721857713649e-15,0.668467800297293
3200,0.01,4,0.13399260661878,0.642424927982503,0.15,-0.01600739338122,0.111734127505067,0.156251085732493,0.0445169582274258,1,-5.22505649858118e-15,0.642525330409932
800,0.05,4,0.0791755147250424,0.624889141668087,0.15,-0.0708244852749575,0.035873702163423,0.122477327286662,0.0866036251232389,0,-4.72261119099926e-16,0.62528006390943
1600,0.05,4,0.160573855564613,0.683012065576729,0.15,0.0105738555646129,0.127106879326195,0.19404083180303,0.0669339524768349,1,2.05474526282501e-15,0.683225606949955
3200,0.05,4,0.131467008919492,0.64233725034122,0.15,-0.0185329910805078,0.109211567625238,0.153722450213746,0.0445108825885076,1,2.99090613387065e-15,0.64243763906581
800,0.1,4,0.147829704079947,0.657752946341012,0.15,-0.00217029592005286,0.102250587889383,0.193408820270511,0.0911582323811277,1,-8.53674769762946e-16,0.658164427736493
1600,0.1,4,0.176438303256223,0.662893249332662,0.15,0.0264383032562234,0.143957130899055,0.208919475613392,0.0649623447143374,1,1.35693539737858e-15,0.663100500627184
3200,0.1,4,0.149295229430603,0.647966503078944,0.15,-0.000704770569397023,0.126844748063913,0.171745710797293,0.0449009627333798,1,2.76946868216221e-15,0.648067771580472
800,0.01,5,0.1447222980268,0.626190553819272,0.15,-0.00527770197320024,0.101330303861311,0.188114292192288,0.0867839883309772,1,-1.85754189807597e-16,0.626582290206553
1600,0.01,5,0.121585646234547,0.645713531899354,0.15,-0.0284143537654533,0.0899462645632244,0.153225027905869,0.0632787633426445,1,-2.07541124043475e-15,0.645915412014306
3200,0.01,5,0.134321824203434,0.626326588945094,0.15,-0.015678175796566,0.112621113830662,0.156022534576206,0.0434014207455447,1,2.39700620463523e-15,0.626424475417356
800,0.05,5,0.19957909127551,0.695434278219552,0.15,0.0495790912755101,0.151388839987093,0.247769342563927,0.0963805025768335,0,3.24254512129585e-16,0.695869332549386
1600,0.05,5,0.166872576242367,0.678100336103833,0.15,0.0168725762423672,0.133646270325667,0.200098882159068,0.0664526118334008,1,1.34434130494299e-15,0.678312341841732
3200,0.05,5,0.136712977942747,0.639089806612297,0.15,-0.0132870220572526,0.114570052765575,0.158855903119919,0.0442858503543439,1,3.78856668259431e-15,0.639189687804845
800,0.1,5,0.160313257406523,0.671992039097144,0.15,0.0103132574065232,0.11374744056066,0.206879074252387,0.093131633691727,1,1.13561937631346e-15,0.672412428277515
1600,0.1,5,0.155044207354902,0.652489189210287,0.15,0.00504420735490207,0.123072824576054,0.18701559013375,0.0639427655576952,1,-1.85268467234323e-16,0.652693187711195
3200,0.1,5,0.135155198476724,0.631713109033188,0.15,-0.014844801523276,0.113267858134201,0.157042538819247,0.043774680685046,1,-3.44703432464399e-15,0.631811837346527
800,0.01,6,0.198583157281899,0.716241188138466,0.15,0.0485831572818989,0.148951087192006,0.248215227371792,0.0992641401797857,1,-1.41470168912861e-15,0.716689258991262
1600,0.01,6,0.150867068867293,0.665475295870138,0.15,0.000867068867293347,0.118259378554628,0.183474759179958,0.0652153806253303,1,7.26085858104852e-16,0.665683354432629
3200,0.01,6,0.153024113870297,0.656108643801801,0.15,0.003024113870297,0.130291526904452,0.175756700836142,0.0454651739316898,1,3.60447782732365e-15,0.656211184811068
800,0.05,6,0.143347793565314,0.637428539297829,0.15,-0.00665220643468645,0.0991770610471891,0.187518526083438,0.088341465036249,1,-8.5043083686287e-16,0.637827306017655
1600,0.05,6,0.128068699153814,0.62229125097901,0.15,-0.0219313008461857,0.0975769881584835,0.158560410149145,0.0609834219906618,1,-4.52138326778595e-16,0.62248580819839
